combined_col,inference,inference_key,category,activity,reason,recommended_product,uncommonness,sensitivity,overall_recommended_product
Image_Search,"The user is interested in health and fitness, as indicated by their search for exercises like 'leg raises' and 'calf raises', as well as their queries about tendonitis and Pilates.","['exercises', 'calf', 'information', 'tendonitis', 'pilates']",Health & Fitness,Exercise Routine like Pilates,"User searched for exercises such as leg raises and calf raises, and looked up information on tendonitis and Pilates.",Resistance Bands for Home Workouts,4,3,Comprehensive Gardening and Home Decor Guidebook
Image_Search,"The user appears to have an interest in gardening and plant care, as seen in their searches related to various plants like 'orient wonder beans', 'lemon balm', and 'hollyhock'.","['plants', 'orient wonder beans', 'lemon balm', 'hollyhock']",Gardening,Plant Care,"User searched for various plants such as orient wonder beans, lemon balm, and hollyhock.",Gardening Tool Set,5,2,Comprehensive Gardening and Home Decor Guidebook
Image_Search,"The user has a creative inclination towards home decor and design, suggested by their searches for DIY kitchen decor and dark academia bedroom aesthetics.","['diy kitchen decor', 'dark academia bedroom aesthetics', 'diy']",Home Decor,DIY projects and design aesthetics,User searched for DIY kitchen decor and dark academia bedroom aesthetics.,DIY Home Decor Craft Kit,6,4,Comprehensive Gardening and Home Decor Guidebook
Browser_history,"The user is involved in academic research or education, likely focused on topics related to technology, privacy, and data ethics.","['academic research', 'education', 'topics', 'technology', 'privacy', 'data ethics']",Education & Research,Academic research in technology and data ethics,"User is involved in academic research or education, focused on topics related to technology, privacy, and data ethics.",Research Methods in HCI (Book),4,6,The Essential Guide to Data Privacy (Book)
Browser_history,"The user has a strong interest in data privacy, particularly concerning children and adolescents, and is likely advocating for better practices in this area.","['strong', 'data privacy', 'children', 'adolescents']",Data Privacy,Advocating for better data practices for children and adolescents,User has a strong interest in data privacy concerning children and adolescents.,Privacy and Data Protection in Education (Online Course),5,7,The Essential Guide to Data Privacy (Book)
Browser_history,"The user is planning a trip or seeking accommodations in Myrtle Beach, indicating interest in travel and leisure activities.","['trip', 'accommodations', 'myrtle beach', 'travel leisure activities']",Travel,Planning a trip or seeking accommodations,"User is planning a trip or seeking accommodations in Myrtle Beach, indicating interest in travel and leisure activities.",Travel Guide to Myrtle Beach (Book),3,2,The Essential Guide to Data Privacy (Book)
Location_history,"The user enjoys outdoor activities and nature, as indicated by their interest in national parks and outdoor locations like Glacier National Park, Acadia National Park, and various waterfalls.","['national parks', 'outdoor locations', 'glacier national park', 'acadia national park', 'waterfalls']",Travel,Visiting national parks and outdoor locations,"User has shown interest in national parks and outdoor locations such as Glacier National Park, Acadia National Park, and various waterfalls.",National Parks Annual Pass,4,3,Outdoor Adventure Gear (Camping Equipment or Hiking Essentials)
Location_history,"The user has a strong interest in travel and exploration, particularly in areas around Myrtle Beach, South Carolina, and various regions in the United States.","['strong', 'travel', 'exploration', 'areas', 'myrtle beach', 'south carolina', 'regions', 'united states']",Travel,Exploration of Myrtle Beach and regions in the US,"User has a strong interest in travel and exploration, particularly in areas around Myrtle Beach, South Carolina, and various regions in the United States.",Travel Guidebook for the Southeastern United States,5,2,Outdoor Adventure Gear (Camping Equipment or Hiking Essentials)
Location_history,"The user appears to have connections or interest in the Clemson area, possibly indicating a tie to education or local culture, as evidenced by multiple references to Clemson-related locations.","['multiple references', 'clemson-related locations', 'connection', 'area']",Education & Local Culture,Interest in Clemson area,"User made multiple references to Clemson-related locations, indicating a connection or interest in the area.",Clemson University Merchandise,6,4,Outdoor Adventure Gear (Camping Equipment or Hiking Essentials)
YT_search_history,"The user is interested in cooking and trying out new recipes, especially from various cuisines, indicating a passion for food and culinary exploration.","['passion', 'food', 'culinary exploration']",Cooking,Trying out new recipes from various cuisines,User has a passion for food and culinary exploration.,Cooking Class Subscription,4,3,
YT_search_history,"The user is likely health-conscious, as seen from their interest in healthy food options and products related to wellness, such as organic growth and nutrition.","['healthy food options', 'products', 'wellness', 'organic growth', 'nutrition']",Health & Fitness,Interest in healthy food and wellness products,"User shows interest in healthy food options and products related to wellness, such as organic growth and nutrition.",Organic Meal Kit Delivery Service,5,4,
YT_search_history,"The user enjoys entertainment and pop culture, as evidenced by their interest in trending topics, music, and celebrity-related content.","['topics', 'music', 'celebrity-related content']",Entertainment & Pop Culture,Trending topics and celebrity-related content,"User has shown interest in trending topics, music, and celebrity-related content.",Streaming Service Subscription,6,2,
Image_Search,"The user has a strong interest in gardening and plants, particularly in specific types of plants like lemon balm, gourd, and various types of beans.","['strong', 'gardening', 'plants', 'types', 'lemon balm', 'gourd', 'types', 'beans']",Gardening,Interest in specific plants,"User has a strong interest in gardening and plants, particularly in types like lemon balm, gourd, and various types of beans.",Gardener's Supply Company Deluxe Raised Garden Bed,6,3,
Browser_history,"The user has a strong interest in gardening and plants, particularly in specific types of plants like lemon balm, gourd, and various types of beans.","['strong', 'gardening', 'plants', 'types', 'lemon balm', 'gourd', 'types', 'beans']",Gardening,Interest in specific plants,"User has a strong interest in gardening and plants, particularly in types like lemon balm, gourd, and various types of beans.",Gardener's Supply Company Deluxe Raised Garden Bed,6,3,
